video_url,comment
https://www.youtube.com/watch?v=_tA5cinv0U8&pp=ygUXaW50ZWxpZ2VuY2lhIGFydGlmaWNpYWw%3D,Gracias por la información
https://www.youtube.com/watch?v=_tA5cinv0U8&pp=ygUXaW50ZWxpZ2VuY2lhIGFydGlmaWNpYWw%3D,"yo ando viendo este tema para un proyecto del que depende si paso o no y termino el colegio, con esto caigo en cuenta que escogimos un tema mas complejo del que creia, del cual debemos defender en muy poco tiempo pero ya mejor ir informandose y aprendiendo de ya para no estancarme tan pronto"
https://www.youtube.com/watch?v=_tA5cinv0U8&pp=ygUXaW50ZWxpZ2VuY2lhIGFydGlmaWNpYWw%3D,"Exelente video, la autoconciencia no es imposible"
https://www.youtube.com/watch?v=_tA5cinv0U8&pp=ygUXaW50ZWxpZ2VuY2lhIGFydGlmaWNpYWw%3D,Este canal es hermoso
https://www.youtube.com/watch?v=_tA5cinv0U8&pp=ygUXaW50ZWxpZ2VuY2lhIGFydGlmaWNpYWw%3D,"¡Esto merece más apoyo de lo que ya tiene! Este tipo es realmente bueno explicando, mejor que mis maestros jaja."
https://www.youtube.com/watch?v=_tA5cinv0U8&pp=ygUXaW50ZWxpZ2VuY2lhIGFydGlmaWNpYWw%3D,Muy buena explicacion los ejemplos que mencionas ayudan a entender los conceptos. Gracias
https://www.youtube.com/watch?v=_tA5cinv0U8&pp=ygUXaW50ZWxpZ2VuY2lhIGFydGlmaWNpYWw%3D,"Woooo hiciste el video que pedí en el pasado, muchas gracias me encanta el canal saludos desde Chile"
https://www.youtube.com/watch?v=_tA5cinv0U8&pp=ygUXaW50ZWxpZ2VuY2lhIGFydGlmaWNpYWw%3D,"Saludos desde Ecuador, sigue adelante Edu. Excelente contenido!"
https://www.youtube.com/watch?v=_tA5cinv0U8&pp=ygUXaW50ZWxpZ2VuY2lhIGFydGlmaWNpYWw%3D,"Excelente explicación, Gracias totales!"
https://www.youtube.com/watch?v=_tA5cinv0U8&pp=ygUXaW50ZWxpZ2VuY2lhIGFydGlmaWNpYWw%3D,me alegro que sigas aqui
https://www.youtube.com/watch?v=_tA5cinv0U8&pp=ygUXaW50ZWxpZ2VuY2lhIGFydGlmaWNpYWw%3D,"Buenas tardes, dias noches o lo que sea ... Tu video me intereso bastante, ¿Podrias recomendarme un buen libro sobre el tema en cuestión?"
https://www.youtube.com/watch?v=_tA5cinv0U8&pp=ygUXaW50ZWxpZ2VuY2lhIGFydGlmaWNpYWw%3D,"Eso de los semáforos, coches, peatones y todo eso ¿Qué acaso eso no es para que el sistema sepa si quien está creando la cuenta es un ser humano y no un bot?"
https://www.youtube.com/watch?v=_tA5cinv0U8&pp=ygUXaW50ZWxpZ2VuY2lhIGFydGlmaWNpYWw%3D,Excelente explicación. Llevo 1 año estudiando el tema y creo que esté es el mejor video para dar una introducción general al tema de Inteligencia Artificial para aquellos que no están dentro del campo de estudio o solo tienen curiosidad por saber de qué trata todo esto.
