video_url,comment
https://www.youtube.com/watch?v=_tA5cinv0U8&pp=ygUXaW50ZWxpZ2VuY2lhIGFydGlmaWNpYWw%3D,gracias información
https://www.youtube.com/watch?v=_tA5cinv0U8&pp=ygUXaW50ZWxpZ2VuY2lhIGFydGlmaWNpYWw%3D,ando viendo tema proyecto depende si paso termino colegio caigo cuenta escogimos tema ma complejo creia debemos defender tiempo mejor ir informandose aprendiendo estancarme tan pronto
https://www.youtube.com/watch?v=_tA5cinv0U8&pp=ygUXaW50ZWxpZ2VuY2lhIGFydGlmaWNpYWw%3D,exelente video autoconciencia imposible
https://www.youtube.com/watch?v=_tA5cinv0U8&pp=ygUXaW50ZWxpZ2VuY2lhIGFydGlmaWNpYWw%3D,canal hermoso
https://www.youtube.com/watch?v=_tA5cinv0U8&pp=ygUXaW50ZWxpZ2VuY2lhIGFydGlmaWNpYWw%3D,merece apoyo tipo realmente bueno explicando mejor maestro jaja
https://www.youtube.com/watch?v=_tA5cinv0U8&pp=ygUXaW50ZWxpZ2VuY2lhIGFydGlmaWNpYWw%3D,buena explicacion ejemplos mencionas ayudan entender conceptos gracias
https://www.youtube.com/watch?v=_tA5cinv0U8&pp=ygUXaW50ZWxpZ2VuY2lhIGFydGlmaWNpYWw%3D,woooo hiciste video pedí pasado muchas gracias encanta canal saludos chile
https://www.youtube.com/watch?v=_tA5cinv0U8&pp=ygUXaW50ZWxpZ2VuY2lhIGFydGlmaWNpYWw%3D,saludos ecuador sigue adelante edu excelente contenido
https://www.youtube.com/watch?v=_tA5cinv0U8&pp=ygUXaW50ZWxpZ2VuY2lhIGFydGlmaWNpYWw%3D,excelente explicación gracias totales
https://www.youtube.com/watch?v=_tA5cinv0U8&pp=ygUXaW50ZWxpZ2VuY2lhIGFydGlmaWNpYWw%3D,alegro sigas aqui
https://www.youtube.com/watch?v=_tA5cinv0U8&pp=ygUXaW50ZWxpZ2VuY2lhIGFydGlmaWNpYWw%3D,buenas tardes dia noches video intereso bastante podrias recomendarme buen libro tema cuestión
https://www.youtube.com/watch?v=_tA5cinv0U8&pp=ygUXaW50ZWxpZ2VuY2lhIGFydGlmaWNpYWw%3D,semáforos coches peatones acaso sistema sepa si creando cuenta ser humano bot
https://www.youtube.com/watch?v=_tA5cinv0U8&pp=ygUXaW50ZWxpZ2VuY2lhIGFydGlmaWNpYWw%3D,excelente explicación llevo ao estudiando tema creo mejor video dar introducción general tema inteligencia artificial aquellos dentro campo estudio solo curiosidad saber trata
https://www.youtube.com/watch?v=_tA5cinv0U8&pp=ygUXaW50ZWxpZ2VuY2lhIGFydGlmaWNpYWw%3D,cantidad veces fallo chaptchas perjudicando gravemente inteligencia artificial
